Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31045	water_ad	OG	P2	3.44682	beer_target
31045	water_ad	OG	P4	4.76853	beer_target
31045	water_ad	OG	PO5	4.22814	beer_target
31045	water_ad	OG	PO3	3.77430	beer_target
31045	water_ad	OG	POz	4.88100	beer_target
31045	water_ad	OG	PO4	6.01025	beer_target
31045	water_ad	OG	PO6	7.83649	beer_target
31045	water_ad	OG	O1	5.83453	beer_target
31045	water_ad	OG	Oz	4.82711	beer_target
31045	water_ad	OG	O2	8.06035	beer_target
31051	water_ad	OG	P3	5.89971	beer_target
31051	water_ad	OG	P1	6.73920	beer_target
31051	water_ad	OG	Pz	7.74852	beer_target
31051	water_ad	OG	P2	9.59381	beer_target
31051	water_ad	OG	P4	11.07041	beer_target
31051	water_ad	OG	PO5	9.83870	beer_target
31051	water_ad	OG	PO3	10.45765	beer_target
31051	water_ad	OG	POz	11.15767	beer_target
31051	water_ad	OG	PO4	12.09847	beer_target
31051	water_ad	OG	PO6	13.83733	beer_target
31051	water_ad	OG	O1	11.69177	beer_target
31051	water_ad	OG	Oz	12.60248	beer_target
31051	water_ad	OG	O2	15.39618	beer_target
31056	water_ad	OG	P3	1.70141	beer_target
31056	water_ad	OG	P1	1.49812	beer_target
31056	water_ad	OG	Pz	1.82815	beer_target
31056	water_ad	OG	P2	2.61350	beer_target
31056	water_ad	OG	P4	3.13604	beer_target
31056	water_ad	OG	PO5	1.61571	beer_target
31056	water_ad	OG	PO3	1.27179	beer_target
31056	water_ad	OG	POz	1.61472	beer_target
31056	water_ad	OG	PO4	2.97074	beer_target
31056	water_ad	OG	PO6	4.46742	beer_target
31056	water_ad	OG	O1	0.77625	beer_target
31056	water_ad	OG	Oz	0.88667	beer_target
31056	water_ad	OG	O2	4.89067	beer_target
31059	water_ad	OG	P3	14.90124	beer_target
31059	water_ad	OG	P1	15.74615	beer_target
31059	water_ad	OG	Pz	15.73263	beer_target
31059	water_ad	OG	P2	15.00606	beer_target
31059	water_ad	OG	P4	15.04424	beer_target
31059	water_ad	OG	PO5	16.42328	beer_target
31059	water_ad	OG	PO3	16.07790	beer_target
31059	water_ad	OG	POz	14.75496	beer_target
31059	water_ad	OG	PO4	13.48275	beer_target
31059	water_ad	OG	PO6	14.86002	beer_target
31059	water_ad	OG	O1	14.24138	beer_target
31059	water_ad	OG	Oz	11.90908	beer_target
31059	water_ad	OG	O2	11.26786	beer_target
31064	water_ad	OG	P3	1.55416	beer_target
31064	water_ad	OG	P1	2.11660	beer_target
31064	water_ad	OG	Pz	3.05451	beer_target
31064	water_ad	OG	P2	5.09889	beer_target
31064	water_ad	OG	P4	6.40679	beer_target
31064	water_ad	OG	PO5	5.22616	beer_target
31064	water_ad	OG	PO3	5.26392	beer_target
31064	water_ad	OG	POz	5.19383	beer_target
31064	water_ad	OG	PO4	5.93586	beer_target
31064	water_ad	OG	PO6	8.79810	beer_target
31064	water_ad	OG	O1	4.49475	beer_target
31064	water_ad	OG	Oz	3.97449	beer_target
31064	water_ad	OG	O2	4.17383	beer_target
31065	water_ad	OG	P3	27.22625	beer_target
31065	water_ad	OG	P1	27.93446	beer_target
31065	water_ad	OG	Pz	25.86590	beer_target
31065	water_ad	OG	P2	26.82169	beer_target
31065	water_ad	OG	P4	24.49892	beer_target
31065	water_ad	OG	PO5	30.26174	beer_target
31065	water_ad	OG	PO3	29.21140	beer_target
31065	water_ad	OG	POz	27.70948	beer_target
31065	water_ad	OG	PO4	26.15838	beer_target
31065	water_ad	OG	PO6	27.86302	beer_target
31065	water_ad	OG	O1	26.05320	beer_target
31065	water_ad	OG	Oz	22.12131	beer_target
31065	water_ad	OG	O2	25.03991	beer_target
31071	water_ad	OG	P3	2.75547	beer_target
31071	water_ad	OG	P1	3.22212	beer_target
31071	water_ad	OG	Pz	3.82089	beer_target
31071	water_ad	OG	P2	5.13519	beer_target
31071	water_ad	OG	P4	6.74314	beer_target
31071	water_ad	OG	PO5	4.15844	beer_target
31071	water_ad	OG	PO3	5.50554	beer_target
31071	water_ad	OG	POz	5.38708	beer_target
31071	water_ad	OG	PO4	6.61045	beer_target
31071	water_ad	OG	PO6	7.11701	beer_target
31071	water_ad	OG	O1	5.51868	beer_target
31071	water_ad	OG	Oz	6.32903	beer_target
31071	water_ad	OG	O2	7.77786	beer_target
31075	water_ad	OG	P3	8.52223	beer_target
31075	water_ad	OG	P1	9.39146	beer_target
31075	water_ad	OG	Pz	9.82526	beer_target
31075	water_ad	OG	P2	10.05104	beer_target
31075	water_ad	OG	P4	9.50683	beer_target
31075	water_ad	OG	PO5	12.83195	beer_target
31075	water_ad	OG	PO3	13.20757	beer_target
31075	water_ad	OG	POz	13.34329	beer_target
31075	water_ad	OG	PO4	14.07474	beer_target
31075	water_ad	OG	PO6	13.58078	beer_target
31075	water_ad	OG	O1	15.18434	beer_target
31075	water_ad	OG	Oz	13.08785	beer_target
31075	water_ad	OG	O2	16.42338	beer_target
31080	water_ad	OG	P3	15.80501	beer_target
31080	water_ad	OG	P1	17.44911	beer_target
31080	water_ad	OG	Pz	16.24108	beer_target
31080	water_ad	OG	P2	13.33782	beer_target
31080	water_ad	OG	P4	12.37758	beer_target
31080	water_ad	OG	PO5	24.38716	beer_target
31080	water_ad	OG	PO3	24.74817	beer_target
31080	water_ad	OG	POz	21.52937	beer_target
31080	water_ad	OG	PO4	20.55764	beer_target
31080	water_ad	OG	PO6	23.25168	beer_target
31080	water_ad	OG	O1	26.20669	beer_target
31080	water_ad	OG	Oz	19.31347	beer_target
31080	water_ad	OG	O2	21.07276	beer_target
31084	water_ad	OG	P3	11.09041	beer_target
31084	water_ad	OG	P1	11.86534	beer_target
31084	water_ad	OG	Pz	11.78986	beer_target
31084	water_ad	OG	P2	10.90480	beer_target
31084	water_ad	OG	P4	10.32055	beer_target
31084	water_ad	OG	PO5	10.07223	beer_target
31084	water_ad	OG	PO3	10.66052	beer_target
31084	water_ad	OG	POz	11.11189	beer_target
31084	water_ad	OG	PO4	10.70464	beer_target
