Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31067	beer_ad	IG	PO6	18.56979	beer_target
31067	beer_ad	IG	O1	14.28471	beer_target
31067	beer_ad	IG	Oz	12.95253	beer_target
31067	beer_ad	IG	O2	14.74519	beer_target
31072	beer_ad	IG	P3	8.96505	beer_target
31072	beer_ad	IG	P1	7.82579	beer_target
31072	beer_ad	IG	Pz	7.20790	beer_target
31072	beer_ad	IG	P2	7.84036	beer_target
31072	beer_ad	IG	P4	8.13997	beer_target
31072	beer_ad	IG	PO5	12.73983	beer_target
31072	beer_ad	IG	PO3	11.16078	beer_target
31072	beer_ad	IG	POz	9.91383	beer_target
31072	beer_ad	IG	PO4	10.93930	beer_target
31072	beer_ad	IG	PO6	14.06479	beer_target
31072	beer_ad	IG	O1	12.82848	beer_target
31072	beer_ad	IG	Oz	9.99428	beer_target
31072	beer_ad	IG	O2	11.12503	beer_target
31073	beer_ad	IG	P3	6.00661	beer_target
31073	beer_ad	IG	P1	6.79991	beer_target
31073	beer_ad	IG	Pz	7.19958	beer_target
31073	beer_ad	IG	P2	7.08379	beer_target
31073	beer_ad	IG	P4	7.63764	beer_target
31073	beer_ad	IG	PO5	11.89446	beer_target
31073	beer_ad	IG	PO3	11.77587	beer_target
31073	beer_ad	IG	POz	11.13238	beer_target
31073	beer_ad	IG	PO4	11.60679	beer_target
31073	beer_ad	IG	PO6	13.25734	beer_target
31073	beer_ad	IG	O1	10.32734	beer_target
31073	beer_ad	IG	Oz	11.22052	beer_target
31073	beer_ad	IG	O2	13.33909	beer_target
31079	beer_ad	IG	P3	8.21598	beer_target
31079	beer_ad	IG	P1	7.44558	beer_target
31079	beer_ad	IG	Pz	7.00149	beer_target
31079	beer_ad	IG	P2	5.97595	beer_target
31079	beer_ad	IG	P4	4.44129	beer_target
31079	beer_ad	IG	PO5	8.34269	beer_target
31079	beer_ad	IG	PO3	6.67972	beer_target
31079	beer_ad	IG	POz	7.15210	beer_target
31079	beer_ad	IG	PO4	6.47636	beer_target
31079	beer_ad	IG	PO6	6.96390	beer_target
31079	beer_ad	IG	O1	6.55027	beer_target
31079	beer_ad	IG	Oz	3.88400	beer_target
31079	beer_ad	IG	O2	6.34083	beer_target
31081	beer_ad	IG	P3	9.37176	beer_target
31081	beer_ad	IG	P1	9.52155	beer_target
31081	beer_ad	IG	Pz	11.42275	beer_target
31081	beer_ad	IG	P2	10.86735	beer_target
31081	beer_ad	IG	P4	11.38270	beer_target
31081	beer_ad	IG	PO5	7.90517	beer_target
31081	beer_ad	IG	PO3	9.79446	beer_target
31081	beer_ad	IG	POz	7.19875	beer_target
31081	beer_ad	IG	PO4	7.58144	beer_target
31081	beer_ad	IG	PO6	7.59363	beer_target
31081	beer_ad	IG	O1	4.69453	beer_target
31081	beer_ad	IG	Oz	-0.44020	beer_target
31081	beer_ad	IG	O2	3.60973	beer_target
31087	beer_ad	IG	P3	12.61259	beer_target
31087	beer_ad	IG	P1	12.07228	beer_target
31087	beer_ad	IG	Pz	11.74189	beer_target
31087	beer_ad	IG	P2	11.27723	beer_target
31087	beer_ad	IG	P4	11.87840	beer_target
31087	beer_ad	IG	PO5	7.84003	beer_target
31087	beer_ad	IG	PO3	7.98806	beer_target
31087	beer_ad	IG	POz	7.51024	beer_target
31087	beer_ad	IG	PO4	8.43823	beer_target
31087	beer_ad	IG	PO6	9.37796	beer_target
31087	beer_ad	IG	O1	2.59208	beer_target
31087	beer_ad	IG	Oz	0.60466	beer_target
31087	beer_ad	IG	O2	2.42464	beer_target
31091	beer_ad	IG	P3	3.38688	beer_target
31091	beer_ad	IG	P1	3.99138	beer_target
31091	beer_ad	IG	Pz	4.87676	beer_target
31091	beer_ad	IG	P2	6.09242	beer_target
31091	beer_ad	IG	P4	5.78886	beer_target
31091	beer_ad	IG	PO5	8.51438	beer_target
31091	beer_ad	IG	PO3	8.12493	beer_target
31091	beer_ad	IG	POz	8.60520	beer_target
31091	beer_ad	IG	PO4	9.65633	beer_target
31091	beer_ad	IG	PO6	11.64351	beer_target
31091	beer_ad	IG	O1	9.71729	beer_target
31091	beer_ad	IG	Oz	7.91938	beer_target
31091	beer_ad	IG	O2	11.93633	beer_target
31095	beer_ad	IG	P3	20.83257	beer_target
31095	beer_ad	IG	P1	19.66096	beer_target
31095	beer_ad	IG	Pz	18.44627	beer_target
31095	beer_ad	IG	P2	19.86316	beer_target
31095	beer_ad	IG	P4	21.34839	beer_target
31095	beer_ad	IG	PO5	25.95807	beer_target
31095	beer_ad	IG	PO3	24.43323	beer_target
31095	beer_ad	IG	POz	24.40384	beer_target
31095	beer_ad	IG	PO4	24.51573	beer_target
31095	beer_ad	IG	PO6	24.86562	beer_target
31095	beer_ad	IG	O1	27.19444	beer_target
31095	beer_ad	IG	Oz	22.06711	beer_target
31095	beer_ad	IG	O2	24.22502	beer_target
31100	beer_ad	IG	P3	14.17062	beer_target
31100	beer_ad	IG	P1	14.88378	beer_target
31100	beer_ad	IG	Pz	15.46517	beer_target
31100	beer_ad	IG	P2	16.38947	beer_target
31100	beer_ad	IG	P4	16.59494	beer_target
31100	beer_ad	IG	PO5	17.87680	beer_target
31100	beer_ad	IG	PO3	18.62817	beer_target
31100	beer_ad	IG	POz	18.13536	beer_target
31100	beer_ad	IG	PO4	18.65687	beer_target
31100	beer_ad	IG	PO6	18.97160	beer_target
31100	beer_ad	IG	O1	18.22079	beer_target
31100	beer_ad	IG	Oz	16.78613	beer_target
31100	beer_ad	IG	O2	17.31621	beer_target
31103	beer_ad	IG	P3	15.74838	beer_target
31103	beer_ad	IG	P1	17.65753	beer_target
31103	beer_ad	IG	Pz	18.10778	beer_target
31103	beer_ad	IG	P2	18.15625	beer_target
31103	beer_ad	IG	P4	17.83234	beer_target
31103	beer_ad	IG	PO5	19.94352	beer_target
31103	beer_ad	IG	PO3	20.56372	beer_target
31103	beer_ad	IG	POz	21.31076	beer_target
31103	beer_ad	IG	PO4	21.31209	beer_target
31103	beer_ad	IG	PO6	20.81765	beer_target
31103	beer_ad	IG	O1	21.44501	beer_target
31103	beer_ad	IG	Oz	19.48568	beer_target
31103	beer_ad	IG	O2	22.26584	beer_target
31001	water_ad	IG	P3	0.13210	beer_target
31001	water_ad	IG	P1	0.02781	beer_target
31001	water_ad	IG	Pz	0.58612	beer_target
31001	water_ad	IG	P2	1.55901	beer_target
31001	water_ad	IG	P4	2.31511	beer_target
31001	water_ad	IG	PO5	3.98488	beer_target
31001	water_ad	IG	PO3	3.54917	beer_target
31001	water_ad	IG	POz	3.08266	beer_target
31001	water_ad	IG	PO4	4.17354	beer_target
31001	water_ad	IG	PO6	5.93053	beer_target
31001	water_ad	IG	O1	6.40388	beer_target
