Subject,Site,Gender,AlcQF_Baseline,AlcQF_Baseline_log,UIQ,UIQ_centered,TrialNum,TargetStimulus,Target_Beverage,Target_Context,Response_Label,Response
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,380,ASwater4.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,390,CUbeer1.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,394,CUbeer2.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,399,CUwater7.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,405,ASwater4.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,414,CUwater1.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,420,ASbeer3.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,430,ASbeer5.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,435,CUwater2.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,439,ASwater6.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,445,CUwater4.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,450,CUwater8.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,465,ASwater5.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,469,ASwater3.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,475,CUbeer8.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,479,ASwater2.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,484,ASbeer8.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,490,CUbeer7.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,495,ASwater1.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,499,CUbeer3.jpg,Beer,Ingroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,505,CUwater5.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,519,ASbeer2.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,524,ASwater8.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,530,ASbeer6.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,534,ASbeer1.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,539,CUwater3.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,544,CUwater7.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,554,CUwater6.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,559,CUbeer5.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,565,CUbeer6.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,575,CUbeer1.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,580,ASwater7.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,584,ASbeer4.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,590,ASbeer7.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,594,CUbeer4.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,599,CUbeer2.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,604,ASbeer3.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,609,ASwater3.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,620,ASwater6.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,625,ASbeer7.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,629,CUwater7.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,635,CUbeer8.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,640,ASbeer5.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,644,ASbeer8.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,650,ASbeer2.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,664,CUbeer6.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,670,ASwater4.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,674,CUwater1.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,680,ASwater7.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,684,ASwater1.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,690,CUwater4.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,700,ASbeer6.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,704,CUbeer2.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,710,CUbeer5.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,720,CUwater8.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,724,ASwater8.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,730,CUwater3.jpg,Water,Ingroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,735,ASwater2.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,739,CUwater2.jpg,Water,Ingroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,745,CUbeer1.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,750,CUbeer7.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,754,CUwater5.jpg,Water,Ingroup,Unpleasant,0
